id,corpus-id,score
22,"['4194461', '7130406', '8742919', '3714522', '8026890', '4001476', '1148064', '2148544', '318382', '186741']",-1
23,"['5725165', '1515731', '6106933', '2261709', '4897457', '2940274', '6527623', '5439990', '5329087', '2887028']",-1
24,"['8730081', '8166495', '4763613', '8023229', '7133499', '2325753', '7760287', '547783', '7010343', '7644523']",-1
25,"['7017130', '8216231', '805137', '467599', '3757547', '1970370', '6154668', '894304', '1131966', '8667095']",-1
26,"['4353414', '7232956', '303274', '1212901', '2118455', '8086269', '5681410', '949150', '8123996', '3838845']",-1
27,"['621211', '6035036', '2553432', '1999329', '5725149', '7118663', '6677211', '8091141', '4605948', '174803']",-1
28,"['621211', '6035036', '2553432', '1999329', '5725149', '7118663', '6677211', '8091141', '4605948', '174803']",-1
29,"['621211', '6035036', '2553432', '1999329', '5725149', '7118663', '6677211', '8091141', '4605948', '174803']",-1
30,"['5628825', '7653127', '1817783', '1759223', '8377519', '2702268', '3388283', '2103948', '7144170', '8293959']",-1
31,"['6952708', '1663598', '3282099', '7131728', '484095', '1532316', '5294245', '761367', '3501303', '800566']",-1
32,"['355725', '7195151', '869122', '1073483', '1420883', '4695289', '1182678', '5417521', '636692', '2095945']",-1
33,"['4471808', '3740525', '7980564', '4971613', '3033619', '6238812', '5568078', '798924', '3815433', '1676296']",-1
34,"['3338678', '6158941', '1722313', '7227662', '2122162', '3608597', '1884948', '6481292', '8439417', '4305254']",-1
35,"['3338678', '6158941', '1722313', '7227662', '2122162', '3608597', '1884948', '6481292', '8439417', '4305254']",-1
36,"['1570635', '7124412', '5624322', '795987', '7546215', '3623228', '6057780', '4028900', '3769620', '7032208']",-1
37,"['1570635', '7124412', '5624322', '795987', '7546215', '3623228', '6057780', '4028900', '3769620', '7032208']",-1
38,"['4811568', '3206111', '5339528', '1185361', '7115356', '7719388', '1377610', '8371864', '8049883', '1674252']",-1
39,"['131290', '1759403', '5605458', '4070740', '7955386', '7330512', '3542380', '341426', '5999378', '3845469']",-1
40,"['4971895', '4135773', '6321438', '3683155', '6396320', '2369999', '5753531', '6793995', '8046032', '328769']",-1
41,"['1232421', '4070740', '5986733', '8550083', '7351333', '3158157', '4477892', '8228853', '7955386', '5605458']",-1
42,"['782447', '3877216', '8646316', '407260', '7010633', '5176353', '5547287', '1219407', '2192530', '1036861']",-1
43,"['5596994', '6724494', '6781260', '2366274', '6367695', '3544542', '1570166', '8723483', '8055035', '987579']",-1
44,"['5299469', '220778', '2166744', '354934', '3919234', '982825', '7961550', '6615469', '85866', '7988309']",-1
45,"['1180595', '6283456', '5462867', '6170512', '3845469', '4458598', '1116268', '6597971', '2873247', '8480692']",-1
46,"['6799577', '203272', '5648571', '7447499', '6510646', '4241784', '746482', '2841725', '1685336', '5113490']",-1
47,"['2617358', '2898038', '1407906', '7092126', '6077149', '1114513', '6531712', '4415966', '6318415', '5463071']",-1
48,"['3250765', '5047481', '5535009', '7183589', '1817330', '3415815', '5684534', '6071545', '7078495', '6769893']",-1
49,"['3990855', '3551713', '300154', '7101634', '8125410', '4673604', '3628505', '5014048', '5207812', '2244940']",-1
50,"['31083', '7354521', '3421265', '1696190', '5160402', '1773289', '2140936', '7066400', '5280206', '8591187']",-1
51,"['8192114', '5061373', '7034143', '6016474', '1108037', '7016532', '4190849', '4770623', '1173210', '364577']",-1
52,"['2775437', '5032189', '2131249', '183192', '4957313', '7113344', '5173528', '4768786', '1713067', '2739129']",-1
53,"['6701847', '5394057', '8179122', '5350387', '6445138', '1331937', '1274444', '340383', '355242', '648779']",-1
54,"['433906', '2709132', '4516106', '5183895', '6907297', '7992925', '877763', '1065712', '5225075', '7098707']",-1
55,"['4885382', '7382800', '7615377', '7199169', '2309496', '6978471', '7021861', '3909631', '4935741', '7084934']",-1
56,"['2043827', '7879495', '3258095', '989262', '7557934', '207566', '201747', '1235520', '1636479', '6188556']",-1
57,"['977135', '8090907', '4680950', '7134339', '6946004', '5464609', '5063326', '5135346', '6544084', '6498570']",-1
58,"['5725165', '1320036', '715714', '6208034', '7324973', '4205215', '1273811', '3629154', '1515731', '8162804']",-1
59,"['5045057', '7882574', '2189332', '7741000', '4748097', '2078698', '3990634', '1471163', '2444405', '1893323']",-1
60,"['1555227', '4197797', '3327354', '6980840', '3259232', '7312170', '4699042', '7917901', '5254178', '7985316']",-1
61,"['7292360', '160279', '942480', '3927787', '7727163', '8154984', '5263768', '7074157', '1632491', '5196909']",-1
62,"['7292360', '160279', '942480', '3927787', '7727163', '8154984', '5263768', '7074157', '1632491', '5196909']",-1
63,"['6520751', '7092293', '6084911', '5898348', '6299675', '6244516', '8291325', '6569941', '1215833', '4775681']",-1
64,"['5453211', '5338572', '5365633', '3740121', '7044390', '5236471', '4486549', '6797365', '3951253', '1314594']",-1
65,"['3990855', '300154', '6185558', '4673604', '8266087', '7101634', '7244378', '3908535', '7796328', '3551713']",-1
66,"['5047481', '5905263', '6071545', '3250765', '8642680', '5338872', '7183589', '6769893', '5581883', '663963']",-1
67,"['4121893', '789683', '7476852', '473000', '2520796', '7929316', '4040204', '480935', '8166604', '7706951']",-1
68,"['3478408', '6157848', '6719954', '3574072', '4799538', '4054014', '4295741', '7807533', '4953392', '3305374']",-1
69,"['1358984', '8574450', '5618262', '105696', '5759570', '4737748', '3527760', '1600792', '1509816', '898855']",-1
70,"['8255297', '2137623', '7144855', '3136448', '7760391', '3409378', '6074358', '6732184', '2795179', '5629161']",-1
71,"['3492772', '7141792', '8669741', '2836302', '3133799', '2190861', '7168310', '8307783', '2121252', '480909']",-1
72,"['3042673', '5220221', '4117720', '1550888', '8064587', '6096041', '7619200', '5996922', '5275391', '1773735']",-1
73,"['7379731', '3041196', '3357131', '8280238', '7145693', '5760714', '1427771', '5242548', '181662', '6996208']",-1
74,"['5642061', '613660', '5202817', '7007309', '1786926', '6002659', '958374', '3345269', '8340369', '8000461']",-1
75,"['3933540', '6185558', '4802878', '2183544', '1195963', '5814472', '8291132', '300154', '8032221', '6459082']",-1
76,"['8307783', '8669741', '4526884', '727116', '6732184', '663902', '8249326', '1335681', '8112274', '407511']",-1
77,"['127773', '7468189', '5526683', '6121021', '7516580', '6104304', '7842233', '781073', '8673364', '7090753']",-1
78,"['8497830', '6653461', '4939108', '526759', '1390770', '3875980', '6315232', '404859', '3875982', '5862639']",-1
79,"['13388', '6422883', '593179', '8464879', '5832654', '5324742', '6370134', '6309059', '5444970', '2297633']",-1
80,"['2137711', '2180671', '3951266', '7415765', '2904597', '6162939', '8505889', '6410050', '692693', '6126455']",-1
81,"['5806392', '407969', '1111757', '2393541', '4338540', '1685156', '2726735', '7486319', '5897449', '130772']",-1
82,"['5141318', '8031289', '7175652', '1992001', '2468462', '3900995', '2142664', '1084827', '6217100', '5035619']",-1
83,"['960282', '4054014', '6516754', '2930934', '5115293', '6185204', '2635488', '8383656', '5484769', '7543619']",-1
84,"['960282', '4054014', '6516754', '2930934', '5115293', '6185204', '2635488', '8383656', '5484769', '7543619']",-1
85,"['368147', '3131284', '8078019', '7737509', '3796471', '2211157', '7079569', '3541621', '653922', '1390371']",-1
86,"['6154608', '104321', '2044163', '1525959', '8060553', '8547784', '1016857', '6022203', '7091092', '5503866']",-1
87,"['668333', '286083', '4788043', '5824423', '1390897', '4821110', '733083', '3691596', '1352693', '6988882']",-1
88,"['1939138', '877026', '425729', '6475182', '1948402', '7477928', '166762', '1570743', '6066625', '5583235']",-1
89,"['8142506', '4051490', '3867455', '2119339', '5949582', '720711', '496732', '6540991', '5644316', '1795612']",-1
90,"['1634043', '6824628', '4331219', '1781757', '6576990', '5500958', '7913935', '7785220', '4531428', '3139969']",-1
91,"['6146872', '5134837', '1065623', '7964880', '4574194', '3383778', '1636143', '8260116', '3989493', '3574026']",-1
92,"['7040199', '7221800', '4830402', '1599765', '4481770', '1078465', '5805459', '3652541', '5409683', '1808188']",-1
93,"['3821490', '625445', '4687502', '7227665', '1630692', '4131813', '4657662', '6163771', '2732358', '4024855']",-1
94,"['4762441', '267496', '1747984', '7760801', '319980', '3580307', '8007077', '7029347', '369280', '5629161']",-1
95,"['6463335', '2836788', '8255297', '1458886', '8750773', '5989808', '8211989', '5301787', '1371349', '6823698']",-1
96,"['8167532', '4725240', '5871723', '109275', '5135346', '1564904', '8525219', '5601208', '6498570', '4646428']",-1
97,"['192643', '767157', '6051189', '411943', '3842293', '2319345', '5807396', '3278578', '6563131', '3404632']",-1
98,"['1462692', '597333', '6643206', '6955039', '2159272', '3773561', '6940077', '2483136', '3220276', '6388968']",-1
99,"['8684953', '2590609', '302894', '8271198', '807630', '4025206', '1120668', '5698586', '30638', '3852990']",-1
100,"['7293296', '7734247', '1660678', '8452265', '577990', '5979122', '1244554', '2625029', '8222305', '4194946']",-1
101,"['5606695', '3925644', '5053293', '3673812', '4788728', '8209972', '7105525', '6041804', '4577676', '3649703']",-1
102,"['3469251', '7244825', '1982309', '5425888', '8319497', '4712516', '5591385', '3862015', '7224753', '5440127']",-1
103,"['5505504', '6459082', '4170708', '4817151', '3131451', '2462311', '8291132', '4448350', '1023816', '6544080']",-1
104,"['7427516', '8038735', '5509020', '1563503', '6987194', '7670012', '7747521', '468423', '5727151', '216276']",-1
105,"['1712772', '2759937', '3689104', '3658574', '2284341', '2790783', '6586582', '2072568', '6795652', '4587923']",-1
106,"['7025891', '679755', '7325800', '77638', '873581', '7007040', '6306002', '1013801', '2741365', '6559385']",-1
107,"['8315873', '7601266', '548386', '5126336', '2740096', '5816645', '4943493', '48054', '2295642', '8175877']",-1
108,"['1360025', '2660760', '6979178', '2815090', '1378217', '3396952', '7588764', '954596', '5497070', '6025626']",-1
109,"['7273297', '3404495', '7122335', '2939610', '3775886', '256360', '4763658', '3879435', '5435544', '8197680']",-1
110,"['4189162', '8488566', '1420183', '3028565', '3228357', '7712233', '3668127', '5788415', '7050542', '795408']",-1
111,"['7236430', '4887574', '4057108', '6963125', '4766193', '308302', '7481421', '2655181', '1621834', '6451975']",-1
112,"['1095398', '8693041', '8001685', '7962790', '1764951', '7082311', '772555', '854489', '347242', '55905']",-1
113,"['384471', '158076', '6384807', '5115120', '4738818', '1433157', '3899798', '517635', '2308670', '7468119']",-1
114,"['4354064', '8282662', '4231565', '4196019', '5771326', '6440841', '4532797', '306168', '5919247', '305389']",-1
115,"['3456888', '7119766', '3751341', '1774080', '226145', '68869', '5878259', '6825820', '8649775', '1748623']",-1
116,"['6231080', '4661712', '295738', '1265098', '3032644', '4221538', '5868710', '6900742', '251012', '3791817']",-1
117,"['7174419', '601609', '2269048', '1865454', '5550296', '7288701', '630981', '5320912', '509780', '741594']",-1
118,"['1869926', '7214397', '4602059', '5487914', '7280386', '5787925', '3459947', '1167008', '7319817', '8317042']",-1
119,"['8673362', '7193613', '2676522', '2138917', '4494452', '8610033', '3621354', '3544301', '2022591', '6424161']",-1
120,"['1567234', '1573783', '4846316', '8039451', '2075884', '3543675', '3040095', '3796068', '5452265', '7624680']",-1
121,"['3937302', '2095868', '5337744', '3192479', '4735376', '7361098', '6740391', '3537176', '1238816', '3465484']",-1
122,"['4962139', '1460088', '1764846', '5069306', '3576523', '4001942', '3167207', '1510929', '4715590', '3411403']",-1
123,"['733084', '7120205', '1717918', '1150900', '5670349', '2732358', '936970', '1852773', '637685', '524949']",-1
124,"['184837', '3831405', '2673516', '1440914', '3393103', '2317118', '4938046', '5943971', '7517604', '2213883']",-1
125,"['2643272', '8273498', '3282564', '464241', '7953894', '427712', '996777', '3937023', '3248919', '3846455']",-1
126,"['6356800', '6034379', '3387235', '7180713', '1489030', '753873', '8153801', '7790736', '5922372', '8425689']",-1
127,"['2935884', '4714737', '5463975', '8765860', '2997221', '1970393', '2251725', '6908894', '821818', '3305512']",-1
128,"['6715005', '790984', '2655181', '5926823', '7095024', '4779159', '286354', '308302', '8773467', '194586']",-1
129,"['5367660', '6877036', '143690', '28618', '371438', '1302021', '5086212', '7263609', '6570642', '7436811']",-1
130,"['7292360', '6753825', '8154984', '3469247', '1632491', '8213913', '7724233', '3927787', '7988309', '942480']",-1
131,"['6447263', '8448085', '6653456', '1069402', '4524556', '3011857', '6546165', '1270804', '2142616', '7354856']",-1
132,"['6567646', '8423948', '2442117', '3938997', '2733006', '5776066', '3117968', '5567935', '5940621', '6765841']",-1
133,"['7299131', '3121192', '4141346', '7360776', '622885', '8343375', '564749', '7182214', '2990900', '6653857']",-1
134,"['4441199', '798302', '2768945', '5430008', '8074727', '978032', '513449', '6687069', '6616354', '6877137']",-1
135,"['7021144', '4762441', '8007077', '4441199', '3770717', '369280', '2768945', '1167777', '3471183', '6499222']",-1
136,"['3905392', '3838845', '1139814', '303274', '6374053', '2123214', '7754426', '7353726', '3314608', '5303490']",-1
137,"['5375859', '1278767', '1991380', '6879683', '1921528', '3264787', '1246978', '575310', '4960345', '8035827']",-1
138,"['5822956', '5323355', '6962522', '4701486', '267156', '5852256', '4417317', '4705185', '1902679', '6069482']",-1
139,"['4935741', '964447', '7707247', '7140038', '2742555', '5074028', '3248906', '7297461', '1165668', '2011735']",-1
140,"['4497173', '3187663', '1940075', '117278', '7989128', '592232', '1787136', '3512070', '864927', '4284930']",-1
141,"['1016903', '8014714', '203984', '8606485', '716242', '7916019', '8125349', '2814400', '3187663', '3179337']",-1
142,"['4157700', '5853289', '5913371', '18895', '6834176', '2791182', '3834266', '5780424', '2885983', '7180977']",-1
143,"['7201459', '6668575', '7203939', '3632574', '3457078', '1151575', '3280753', '5990819', '2069492', '8044127']",-1
144,"['943870', '4082136', '105547', '5189156', '1064348', '8126524', '155991', '7248738', '3134969', '2340850']",-1
145,"['1817783', '6315037', '1955055', '522884', '5358089', '8377519', '982830', '2516883', '5692499', '6496177']",-1
146,"['3669815', '2245973', '6929489', '7923844', '7274149', '6885388', '2686771', '8022434', '2030224', '4013374']",-1
147,"['3669815', '2245973', '6929489', '7923844', '7274149', '6885388', '2686771', '8022434', '2030224', '4013374']",-1
148,"['4990961', '5761886', '3550584', '6919494', '6309882', '5683759', '7631920', '490585', '2556513', '8500365']",-1
149,"['6582298', '3579086', '5743431', '890539', '2941306', '5724668', '1619534', '7659758', '7591733', '2118955']",-1
150,"['2666023', '8312176', '7815484', '147161', '7418735', '5930247', '938345', '388196', '1429807', '1844345']",-1
151,"['40622', '2035110', '3586585', '896368', '2165241', '3288628', '6578643', '5334775', '5057134', '1641207']",-1
152,"['7122438', '1332281', '4322842', '4147430', '981491', '5024308', '494623', '1629909', '2319528', '1786083']",-1
153,"['789683', '6154407', '5658525', '2706911', '7169039', '7297784', '5990465', '7476852', '6148486', '1604699']",-1
154,"['7296122', '1481923', '8060509', '8123095', '2976422', '1422454', '7927235', '940229', '4161239', '7989339']",-1
155,"['7193613', '8673362', '5886244', '2472245', '1705832', '230052', '7763199', '1372073', '7272161', '2022591']",-1
156,"['7193613', '8673362', '5886244', '2472245', '1705832', '230052', '7763199', '1372073', '7272161', '2022591']",-1
157,"['1183628', '2588086', '4300336', '3779538', '3751341', '4706383', '428752', '6846221', '7463259', '3094743']",-1
158,"['7021144', '3770717', '7030531', '6034326', '6427964', '6058497', '1453757', '4762441', '7291467', '4760765']",-1
159,"['7431733', '8655910', '2523420', '2026951', '2545374', '6931489', '5035638', '6378362', '4103885', '1975038']",-1
160,"['3898297', '4094214', '881821', '1366443', '4183099', '3295993', '2217531', '217722', '2484244', '7016977']",-1
161,"['1141', '7195800', '155214', '2586642', '6913161', '7899497', '2177791', '5563206', '1154455', '428865']",-1
162,"['7797953', '134474', '3201874', '3203228', '8132276', '5710362', '7673862', '3109583', '6429879', '8541711']",-1
163,"['8206403', '7016835', '8722017', '5374058', '7079680', '8206395', '3463964', '8154932', '3902139', '4888288']",-1
164,"['6269886', '6975978', '293593', '1473529', '6520551', '2903566', '4087988', '7985223', '142019', '7412908']",-1
165,"['5128088', '340383', '8179122', '6701847', '6445138', '5350387', '1096009', '2246681', '5681142', '6336043']",-1
166,"['5457580', '5320554', '7392158', '5534031', '3744354', '4334599', '2524957', '6609291', '3535843', '8555533']",-1
167,"['3492772', '7141792', '8669741', '7168310', '2821731', '8307783', '3133799', '727116', '8063787', '1095398']",-1
168,"['3685934', '1431174', '4730792', '2267267', '1504837', '4397586', '6752639', '1589944', '824343', '5973287']",-1
169,"['3685934', '1431174', '4730792', '2267267', '1504837', '4397586', '6752639', '1589944', '824343', '5973287']",-1
170,"['4277292', '5852120', '5712762', '6928008', '5860653', '2193085', '4220126', '5709523', '6796403', '7735084']",-1
171,"['7901543', '7088995', '5218478', '4099288', '1982428', '1420282', '3502408', '490590', '6880805', '7522657']",-1
172,"['4131915', '7198959', '6116172', '1143283', '3256125', '2344166', '4982118', '1999029', '5098909', '6750911']",-1
173,"['5524333', '1594217', '5331381', '2711713', '180587', '1937168', '4760085', '2545020', '5289045', '4764244']",-1
174,"['2573107', '7696982', '6455102', '2902407', '3685297', '4063388', '97508', '8155179', '127766', '5587947']",-1
175,"['3131538', '1713946', '5143532', '8011232', '5041555', '8574869', '65913', '908477', '3082836', '523545']",-1
176,"['7988309', '1201511', '6615469', '208663', '7493157', '7846848', '5299469', '3911727', '6512112', '1891584']",-1
177,"['976100', '568408', '5341867', '1459035', '2776511', '2054091', '1388263', '8197540', '8273498', '5684534']",-1
178,"['5068862', '3862113', '788118', '5057885', '1026032', '1490667', '4237477', '7250260', '6641110', '5982564']",-1
179,"['3862113', '5068862', '5982564', '1026032', '788118', '4237477', '4792560', '8133608', '5057885', '522520']",-1
180,"['6658448', '6287278', '3602953', '334733', '7530042', '3791991', '5064321', '3673921', '2092751', '3437479']",-1
181,"['6307792', '748845', '1214675', '8266087', '7239283', '8467758', '4167321', '7101634', '1002608', '8186793']",-1
182,"['1594217', '294692', '7714490', '1699881', '378177', '2616059', '3797085', '3728999', '452463', '5062293']",-1
183,"['462226', '1163264', '2603486', '7045235', '1881253', '1323351', '8442695', '169066', '4522682', '551017']",-1
184,"['3027554', '7105525', '816385', '4641658', '4244907', '455991', '2342794', '276264', '7499610', '8096529']",-1
185,"['4362835', '2603871', '7551041', '2612180', '1977671', '1189191', '6994372', '8279710', '5395026', '443165']",-1
186,"['6882675', '6220851', '6977647', '129114', '2008678', '3190502', '7270312', '7274174', '6212366', '6223787']",-1
187,"['4836489', '3947914', '5032229', '7795076', '2458865', '1583830', '4969396', '3971353', '849774', '8763941']",-1
188,"['8206395', '7079680', '8206403', '4051638', '2749242', '3463964', '4054749', '3902139', '736188', '2264824']",-1
189,"['5736596', '5501470', '5196843', '401881', '1078033', '5663956', '7254470', '3336963', '7202463', '890035']",-1
190,"['2940337', '7995915', '5444259', '4496611', '765879', '3444102', '2649899', '4433853', '7092048', '6349462']",-1
191,"['127375', '1360645', '3280721', '976100', '2936322', '3415815', '7183589', '8146963', '3083225', '6071545']",-1
192,"['2023966', '3252772', '8117110', '291809', '4375773', '873837', '5323236', '2008201', '3647498', '1370351']",-1
193,"['4111619', '2318354', '2113006', '5336503', '8450714', '6137867', '1531369', '1664776', '4155754', '3873484']",-1
194,"['910752', '7021844', '2560289', '6281142', '199142', '2768187', '790981', '250680', '3807607', '1234413']",-1
195,"['7141792', '3492772', '1921667', '1116004', '2836302', '6732184', '8754273', '6823698', '2795179', '3965758']",-1
196,"['5324082', '5781422', '7083573', '7099271', '8313182', '4196391', '6711916', '326936', '8165491', '5535237']",-1
197,"['5421533', '5220221', '993708', '5526899', '5192202', '4304544', '4117720', '3042673', '4978114', '4572497']",-1
198,"['1746846', '4916258', '6177883', '8429426', '4310640', '261159', '3942695', '6196283', '194816', '2493334']",-1
199,"['5780485', '1263008', '8033718', '3837375', '5807152', '2566041', '4118542', '5674511', '3896633', '2955451']",-1
200,"['5806392', '7805424', '3347444', '4542730', '7643788', '6237643', '407969', '418802', '4863871', '5897453']",-1
201,"['6679271', '5787884', '2120820', '5824150', '5144774', '1226564', '2926451', '1747059', '7553274', '8733808']",-1
202,"['7133681', '8225401', '2326880', '4924821', '3925644', '7156410', '8076633', '1421960', '4577676', '8087865']",-1
203,"['3947914', '5032229', '1583830', '2458865', '3976728', '4951425', '5296795', '8763941', '4969396', '5182772']",-1
204,"['3386541', '3765714', '6004085', '6071666', '2267669', '7493229', '6971652', '5167800', '3300652', '4334210']",-1
205,"['3685297', '1251725', '2855254', '6720637', '8484845', '4397731', '8071939', '8034484', '8155138', '6419675']",-1
206,"['3685297', '1251725', '2855254', '6720637', '8484845', '4397731', '8071939', '8034484', '8155138', '6419675']",-1
207,"['4947608', '579067', '185899', '7984390', '7815484', '4223626', '357955', '4145263', '5659958', '1766675']",-1
208,"['733084', '7760274', '6196743', '6945985', '8059468', '6255537', '5128055', '6301766', '1254770', '7832799']",-1
209,"['4598727', '7896151', '4970224', '4194721', '3392713', '8631375', '211071', '237703', '4794099', '4698323']",-1
210,"['3309081', '5181280', '3821490', '127773', '127382', '5898821', '4657662', '7468189', '4784449', '1508151']",-1
211,"['2854666', '2819729', '2001033', '5042062', '2483910', '7145034', '6148492', '8138536', '3150335', '5445786']",-1
212,"['5821482', '5972337', '3300652', '8546540', '6071666', '8052781', '3872478', '3386541', '3164453', '597256']",-1
213,"['8443459', '1698350', '4074683', '8035878', '694159', '4058497', '3187085', '3813505', '4848695', '2151556']",-1
214,"['7227665', '4963089', '5240948', '4970230', '2732358', '6403554', '3821490', '4024855', '1299629', '1630692']",-1
215,"['5969801', '4499274', '6234602', '1076545', '3143949', '6132051', '4920055', '5309772', '3716164', '1892966']",-1
216,"['3685297', '6154608', '6720637', '1016857', '8034484', '2625755', '4397731', '1081082', '8035881', '3745280']",-1
217,"['1082430', '2798540', '1613241', '2835551', '841268', '2115665', '7672386', '6939753', '578140', '6673953']",-1
218,"['4151008', '2122314', '6803838', '6819465', '694159', '8474583', '4799501', '8443459', '4848695', '4452260']",-1
219,"['4151008', '2122314', '6803838', '6819465', '694159', '8474583', '4799501', '8443459', '4848695', '4452260']",-1
220,"['7696905', '334733', '5168964', '5236072', '3660825', '664109', '6653456', '8673180', '8459951', '5680340']",-1
221,"['643305', '6419675', '6336499', '8071939', '4917526', '4788043', '5326937', '3691596', '5824423', '6582615']",-1
222,"['425181', '3502997', '8034155', '4513809', '8020964', '3582167', '1816125', '7629937', '3011857', '6102733']",-1
223,"['643305', '6336499', '668333', '8360304', '4788043', '1390897', '5824423', '6582615', '4821110', '8687214']",-1
224,"['5580670', '4143802', '5870657', '607723', '7284037', '2698239', '7887013', '7455302', '1766670', '485814']",-1
225,"['3264787', '4237542', '6879683', '1737709', '1246978', '8035827', '1278767', '3445002', '2322279', '8063302']",-1
226,"['7361896', '1893793', '3018952', '6462876', '3281589', '432811', '5827643', '1110462', '2203436', '6334415']",-1
227,"['211071', '8154897', '7667301', '1666075', '5580668', '3536545', '296956', '515260', '8631375', '5670348']",-1
228,"['2180130', '2617358', '4864958', '6368676', '335410', '692055', '2673765', '7362356', '3013887', '5788162']",-1
229,"['286083', '2835551', '668333', '203765', '4821110', '1390897', '1082430', '1352693', '5047132', '3606385']",-1
230,"['4947608', '185899', '2666023', '7198404', '1766675', '5659958', '4145263', '7984390', '791055', '692055']",-1
231,"['6289694', '185406', '407970', '8789350', '5971640', '1892994', '1544415', '8132281', '1632126', '6582108']",-1
232,"['425181', '3582167', '5843638', '3502997', '259993', '3949125', '7006882', '8329233', '50980', '4103366']",-1
233,"['6419675', '8071939', '7091092', '4917526', '2855254', '2552696', '3685297', '3309695', '5326937', '815386']",-1
234,"['6419675', '8071939', '7091092', '4917526', '2855254', '2552696', '3685297', '3309695', '5326937', '815386']",-1
235,"['692055', '7198404', '6368676', '2180130', '2617358', '8563332', '5788162', '7362356', '4419272', '786259']",-1
236,"['7635638', '188408', '694159', '5056060', '3101943', '3187085', '8035878', '1246485', '6803838', '1752844']",-1
237,"['217212', '4767978', '6483850', '4151008', '7120205', '1150900', '2122314', '8357173', '986251', '2979804']",-1
238,"['4397731', '2902407', '3685297', '5514270', '3186916', '71635', '578140', '8259888', '5202060', '4063388']",-1
239,"['6803838', '694159', '8035878', '4452260', '1752844', '6074427', '3187085', '2057892', '8058626', '8298292']",-1
240,"['8036214', '8497830', '7341241', '526759', '8034155', '6653461', '404859', '1390770', '2372553', '3875982']",-1
241,"['694159', '6803838', '8443459', '4151008', '8035878', '4452260', '3187085', '8474583', '6074427', '2122314']",-1
242,"['733084', '1150900', '7832799', '936970', '524949', '2789296', '1426822', '2205439', '2206239', '5128055']",-1
243,"['2617358', '6077149', '6821470', '8034155', '2180130', '3502997', '4419272', '4415966', '3399132', '5281421']",-1
244,"['7664038', '2822493', '6334430', '1044078', '8656473', '5102966', '7065286', '152704', '4025992', '5577618']",-1
245,"['6653456', '7354856', '5858406', '3910441', '5582309', '2878696', '7653613', '5529780', '8746579', '5523994']",-1
246,"['6373760', '127766', '3194418', '4424574', '1369698', '2625755', '6591539', '8148684', '6891276', '5167112']",-1
247,"['2678282', '8040472', '6882359', '6789409', '3624191', '1113597', '387626', '7128710', '8427855', '2128752']",-1
248,"['1674485', '285115', '7291984', '325957', '6774352', '8323218', '380070', '471591', '131467', '5304917']",-1
249,"['8260386', '5934916', '1305414', '8620177', '2035110', '2807054', '6476722', '7635750', '1510885', '3586585']",-1
250,"['7217540', '1367031', '112119', '2321620', '6637703', '1897428', '6300342', '4851058', '8582997', '200602']",-1
